"African Online Championships, Feb. 2021.  Sections grouped into one.",,,,,,,,,** Uses all turns from 12 to 60 in all games **,,,,,,,,UW = unit weights,,,,,,,,,
Stockfish 7 with unit weights,,,,,,,,,Shortcut for Rapid over eliminating book by 2300+,,,,,,,,EWN = weighted by expectation loss,,,,,,,,,
"Ratings are FIDE Standard via lookup where possible. Sub 175 for G35 Rapid, add 150 for pandemic lag, add 25 for uncertainty = same rating",,,,,,,,,,,,,,,,,,,,,,,,,,
IPR12 = Intrinsic Performance Rating starting at turn 12.,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Move-Match, Equal-Optimal Value, and Average Scaled Difference (MMZ,EVZ,ASDZ) are combined into the official CombZ score by a rule that is now slightly rating-dependent.",,,,,,,,,,,,,,,,,,,,,,,,,,
"ELWZ is like ASDZ but in units of ""expectation loss"" rather than centipawn value.  It is not calibrated and not included in CombZ but is related to an alternative weighting scheme ""EWN"" directed against ""smart cheating.""",,,,,,,,,,,,,,,,,,,,,,,,,,
PredZ is a new provisional test for (un)predictability that is intended to be less dependent on a particular engine.,,,,,,,,,,,,,,,,,,,,,,,,,,
The T2 and T3 tests are not calibrated and are positively biased by 0.30--0.50 on average.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Not calibrated---ignore,,,,,,,
Name,Rating,Rating Used,IPR12,CombZ,PredZ,#turns,wtfactor,IPR diff,2sigma,ChallFaced,s,c,MMZ,EVZ,ASDZ,ELWZ,Engine,Weights,T2Z,T3Z,T3thr50Z,sOfIPR,cOfIPR,CombZ+,Pred+,
JuniorEdnasia            ,1808,1808,2267,1.13,1.19,181,1,484,260,1532.4,0.04961,0.419044,0.80,0.74,1.58,1.62,    SF7,   UW,1.17,1.31,1.11,0.0316246415847029,0.361507387385718,1.13,1.19,0
KamaraAnsumana           ,1899,1899,1234,-1.64,-1.94,185,1,-640,406,1914.5,0.030728,0.259906,-0.93,-0.50,-3.09,-3.70,    SF7,   UW,-1.27,-1.03,-1.37,0.0630999605734033,0.311937409067765,0.00,0.00,0
KaraniaSaloni            ,1304,1304,954,-1.35,-1.17,190,1,-325,330,1386.4,0.130449,0.361922,-1.37,-1.11,-1.25,-1.29,    SF7,   UW,-0.88,-1.04,-0.90,0.0721575320478065,0.298501209717304,0.00,0.00,0
KatloBandaNatalie        ,1440,1440,2020,1.17,0.89,192,1,605,301,1211.1,0.066972,0.419641,0.75,0.74,1.73,1.78,    SF7,   UW,1.60,0.82,0.92,0.038872905459468,0.349654740101561,1.17,0.89,0
KayondeAndrew            ,2393,2393,2340,0.17,0.46,263,1,-28,280,2318.2,0.013624,0.298923,0.52,0.23,-0.27,-0.29,    SF7,   UW,1.47,0.69,0.54,0.0295158658780932,0.365010396502088,0.17,0.46,0
KeithKhumalo             ,1921,1921,2033,-0.16,-0.12,228,1,137,247,1844.1,0.09839,0.497279,-0.68,-0.33,0.57,0.46,    SF7,   UW,0.52,0.74,0.25,0.0384870653609356,0.350278563642832,0.00,0.00,0
KhalemaSechaba           ,1827,1827,1754,-0.29,-0.31,249,1,-48,269,1648.5,0.047042,0.337307,-0.22,-0.25,-0.33,-0.05,    SF7,   UW,-0.91,-0.19,-0.01,0.0468739736615401,0.336890350718622,0.00,0.00,0
KhalilHamzaoui           ,1704,1704,2202,2.08,2.28,235,1,523,270,1599.1,0.025343,0.331238,1.81,1.72,2.20,2.22,    SF7,   UW,2.12,2.22,1.85,0.0335151529557974,0.358388269679361,2.08,2.28,0
LatrecheKhadidja         ,1900,1900,1562,-1.86,-1.43,257,1,-313,269,1740.5,0.084676,0.382168,-1.63,-1.74,-1.77,-1.37,    SF7,   UW,-0.46,0.17,-0.55,0.0527750005553346,0.327676956878306,0.00,0.00,0
LeboelaMaboloko          ,1296,1296,998,-0.02,0.54,207,1,-273,380,1184.4,0.026739,0.237856,0.43,0.25,-0.73,-0.60,    SF7,   UW,0.58,0.31,0.62,0.0707193418491424,0.300612612472377,0.00,0.54,0
